"activity" "subject" "feature" "average value"
"1" "LAYING" 1 "tBodyAcc-mean()-X" 0.22159824394
"2" "LAYING" 1 "tBodyAcc-mean()-Y" -0.0405139534294
"3" "LAYING" 1 "tBodyAcc-mean()-Z" -0.11320355358
"4" "LAYING" 1 "tBodyAcc-std()-X" -0.9280564692
"5" "LAYING" 1 "tBodyAcc-std()-Y" -0.83682740562
"6" "LAYING" 1 "tBodyAcc-std()-Z" -0.826061401628
"7" "LAYING" 1 "tGravityAcc-mean()-X" -0.24888179828
"8" "LAYING" 1 "tGravityAcc-mean()-Y" 0.70554977346
"9" "LAYING" 1 "tGravityAcc-mean()-Z" 0.4458177198
"10" "LAYING" 1 "tGravityAcc-std()-X" -0.8968300184
"11" "LAYING" 1 "tGravityAcc-std()-Y" -0.90772000676
"12" "LAYING" 1 "tGravityAcc-std()-Z" -0.85236629022
"13" "LAYING" 1 "tBodyAccJerk-mean()-X" 0.0810865342
"14" "LAYING" 1 "tBodyAccJerk-mean()-Y" 0.0038382040088
"15" "LAYING" 1 "tBodyAccJerk-mean()-Z" 0.010834236361
"16" "LAYING" 1 "tBodyAccJerk-std()-X" -0.958482112
"17" "LAYING" 1 "tBodyAccJerk-std()-Y" -0.9241492736
"18" "LAYING" 1 "tBodyAccJerk-std()-Z" -0.9548551108
"19" "LAYING" 1 "tBodyGyro-mean()-X" -0.016553093978
"20" "LAYING" 1 "tBodyGyro-mean()-Y" -0.064486124088
"21" "LAYING" 1 "tBodyGyro-mean()-Z" 0.14868943626
"22" "LAYING" 1 "tBodyGyro-std()-X" -0.87354386782
"23" "LAYING" 1 "tBodyGyro-std()-Y" -0.9510904402
"24" "LAYING" 1 "tBodyGyro-std()-Z" -0.9082846626
"25" "LAYING" 1 "tBodyGyroJerk-mean()-X" -0.107270949192
"26" "LAYING" 1 "tBodyGyroJerk-mean()-Y" -0.04151728689
"27" "LAYING" 1 "tBodyGyroJerk-mean()-Z" -0.0740501211
"28" "LAYING" 1 "tBodyGyroJerk-std()-X" -0.9186085208
"29" "LAYING" 1 "tBodyGyroJerk-std()-Y" -0.9679072436
"30" "LAYING" 1 "tBodyGyroJerk-std()-Z" -0.9577901596
"31" "LAYING" 1 "tBodyAccMag-mean()" -0.8419291525
"32" "LAYING" 1 "tBodyAccMag-std()" -0.79514486386
"33" "LAYING" 1 "tGravityAccMag-mean()" -0.8419291525
"34" "LAYING" 1 "tGravityAccMag-std()" -0.79514486386
"35" "LAYING" 1 "tBodyAccJerkMag-mean()" -0.9543962646
"36" "LAYING" 1 "tBodyAccJerkMag-std()" -0.9282456284
"37" "LAYING" 1 "tBodyGyroMag-mean()" -0.874759548
"38" "LAYING" 1 "tBodyGyroMag-std()" -0.81901016976
"39" "LAYING" 1 "tBodyGyroJerkMag-mean()" -0.96346103
"40" "LAYING" 1 "tBodyGyroJerkMag-std()" -0.9358409828
"41" "LAYING" 1 "fBodyAcc-mean()-X" -0.9390990524
"42" "LAYING" 1 "fBodyAcc-mean()-Y" -0.86706520518
"43" "LAYING" 1 "fBodyAcc-mean()-Z" -0.8826668762
"44" "LAYING" 1 "fBodyAcc-std()-X" -0.9244374346
"45" "LAYING" 1 "fBodyAcc-std()-Y" -0.8336255561
"46" "LAYING" 1 "fBodyAcc-std()-Z" -0.81289155944
"47" "LAYING" 1 "fBodyAcc-meanFreq()-X" -0.158792670508
"48" "LAYING" 1 "fBodyAcc-meanFreq()-Y" 0.097534841586
"49" "LAYING" 1 "fBodyAcc-meanFreq()-Z" 0.08943765522
"50" "LAYING" 1 "fBodyAccJerk-mean()-X" -0.9570738838
"51" "LAYING" 1 "fBodyAccJerk-mean()-Y" -0.9224626098
"52" "LAYING" 1 "fBodyAccJerk-mean()-Z" -0.9480609042
"53" "LAYING" 1 "fBodyAccJerk-std()-X" -0.9641607086
"54" "LAYING" 1 "fBodyAccJerk-std()-Y" -0.9322178704
"55" "LAYING" 1 "fBodyAccJerk-std()-Z" -0.9605869872
"56" "LAYING" 1 "fBodyAccJerk-meanFreq()-X" 0.132419092398
"57" "LAYING" 1 "fBodyAccJerk-meanFreq()-Y" 0.024513618956
"58" "LAYING" 1 "fBodyAccJerk-meanFreq()-Z" 0.02438794528
"59" "LAYING" 1 "fBodyGyro-mean()-X" -0.850249174586
"60" "LAYING" 1 "fBodyGyro-mean()-Y" -0.9521914948
"61" "LAYING" 1 "fBodyGyro-mean()-Z" -0.909302721
"62" "LAYING" 1 "fBodyGyro-std()-X" -0.8822964508
"63" "LAYING" 1 "fBodyGyro-std()-Y" -0.9512320494
"64" "LAYING" 1 "fBodyGyro-std()-Z" -0.9165825082
"65" "LAYING" 1 "fBodyGyro-meanFreq()-X" -0.003546795856
"66" "LAYING" 1 "fBodyGyro-meanFreq()-Y" -0.091529130882
"67" "LAYING" 1 "fBodyGyro-meanFreq()-Z" 0.01045812566
"68" "LAYING" 1 "fBodyAccMag-mean()" -0.8617676481
"69" "LAYING" 1 "fBodyAccMag-std()" -0.7983009404
"70" "LAYING" 1 "fBodyAccMag-meanFreq()" 0.08640856294
"71" "LAYING" 1 "fBodyBodyAccJerkMag-mean()" -0.9333003608
"72" "LAYING" 1 "fBodyBodyAccJerkMag-std()" -0.9218039756
"73" "LAYING" 1 "fBodyBodyAccJerkMag-meanFreq()" 0.26639115416
"74" "LAYING" 1 "fBodyBodyGyroMag-mean()" -0.8621901854
"75" "LAYING" 1 "fBodyBodyGyroMag-std()" -0.82431943968
"76" "LAYING" 1 "fBodyBodyGyroMag-meanFreq()" -0.1397750127
"77" "LAYING" 1 "fBodyBodyGyroJerkMag-mean()" -0.9423669466
